Time	RPM
0.000000	39.708933	
0.001953	39.708973	
0.003906	39.709020	
0.005859	39.709074	
0.007812	39.709134	
0.009766	39.709201	
0.011719	39.709247	
0.013672	39.709272	
0.015625	39.709277	
0.017578	39.709261	
0.019531	39.709225	
0.021484	39.709195	
0.023438	39.709172	
0.025391	39.709155	
0.027344	39.709144	
0.029297	39.709167	
0.031250	39.709224	
0.033203	39.709314	
0.035156	39.709438	
0.037109	39.709569	
0.039062	39.709706	
0.041016	39.709849	
0.042969	39.709999	
0.044922	39.710128	
0.046875	39.710237	
0.048828	39.710325	
0.050781	39.710392	
0.052734	39.710439	
0.054688	39.710465	
0.056641	39.710471	
0.058594	39.710456	
0.060547	39.710420	
0.062500	39.710391	
0.064453	39.710368	
0.066406	39.710352	
0.068359	39.710341	
0.070312	39.710337	
0.072266	39.710366	
0.074219	39.710428	
0.076172	39.710523	
0.078125	39.710624	
0.080078	39.710731	
0.082031	39.710845	
0.083984	39.710965	
0.085938	39.711091	
0.087891	39.711197	
0.089844	39.711282	
0.091797	39.711346	
0.093750	39.711390	
0.095703	39.711414	
0.097656	39.711416	
0.099609	39.711399	
0.101562	39.711360	
0.103516	39.711301	
0.105469	39.711221	
0.107422	39.711121	
0.109375	39.711000	
0.111328	39.710859	
0.113281	39.710724	
0.115234	39.710595	
0.117188	39.710473	
0.119141	39.710357	
0.121094	39.710246	
0.123047	39.710169	
0.125000	39.710125	
0.126953	39.710115	
0.128906	39.710110	
0.130859	39.710111	
0.132812	39.710119	
0.134766	39.710133	
0.136719	39.710153	
0.138672	39.710153	
0.140625	39.710132	
0.142578	39.710091	
0.144531	39.710029	
0.146484	39.709973	
0.148438	39.709924	
0.150391	39.709881	
0.152344	39.709844	
0.154297	39.709813	
0.156250	39.709816	
0.158203	39.709851	
0.160156	39.709920	
0.162109	39.709994	
0.164062	39.710075	
0.166016	39.710162	
0.167969	39.710256	
0.169922	39.710356	
0.171875	39.710435	
0.173828	39.710494	
0.175781	39.710532	
0.177734	39.710549	
0.179688	39.710546	
0.181641	39.710522	
0.183594	39.710478	
0.185547	39.710413	
0.187500	39.710327	
0.189453	39.710221	
0.191406	39.710095	
0.193359	39.709947	
0.195312	39.709779	
0.197266	39.709618	
0.199219	39.709463	
0.201172	39.709314	
0.203125	39.709171	
0.205078	39.709034	
0.207031	39.708931	
0.208984	39.708861	
0.210938	39.708823	
0.212891	39.708792	
0.214844	39.708767	
0.216797	39.708748	
0.218750	39.708736	
0.220703	39.708730	
0.222656	39.708703	
0.224609	39.708656	
0.226562	39.708588	
0.228516	39.708499	
0.230469	39.708417	
0.232422	39.708342	
0.234375	39.708272	
0.236328	39.708209	
0.238281	39.708152	
0.240234	39.708127	
0.242188	39.708136	
0.244141	39.708178	
0.246094	39.708227	
0.248047	39.708281	
0.250000	39.708342	
0.251953	39.708409	
0.253906	39.708482	
0.255859	39.708535	
0.257812	39.708567	
0.259766	39.708578	
0.261719	39.708569	
0.263672	39.708567	
