Time	RPM
0.000000	39.708933	
10.001953	39.708973	
10.003906	39.709020	
10.005859	39.709074	
10.007812	39.709134	
10.009766	39.709201	
10.011719	39.709247	
10.013672	39.709272	
10.015625	39.709277	
10.017578	39.709261	
10.019531	39.709225	
10.021484	39.709195	
10.023438	39.709172	
10.025391	39.709155	
10.027344	39.709144	
10.029297	39.709167	
10.031250	39.709224	
10.033203	39.709314	
10.035156	39.709438	
10.037109	39.709569	
10.039062	39.709706	
10.041016	39.709849	
10.042969	39.709999	
10.044922	39.710128	
10.046875	39.710237	
10.048828	39.710325	
10.050781	39.710392	
10.052734	39.710439	
10.054688	39.710465	
10.056641	39.710471	
10.058594	39.710456	
10.060547	39.710420	
10.062500	39.710391	
10.064453	39.710368	
10.066406	39.710352	
10.068359	39.710341	
10.070312	39.710337	
10.072266	39.710366	
10.074219	39.710428	
10.076172	39.710523	
10.078125	39.710624	
10.080078	39.710731	
10.082031	39.710845	
10.083984	39.710965	
10.085938	39.711091	
10.087891	39.711197	
10.089844	39.711282	
10.091797	39.711346	
10.093750	39.711390	
10.095703	39.711414	
10.097656	39.711416	
10.099609	39.711399	
10.101562	39.711360	
10.103516	39.711301	
10.105469	39.711221	
10.107422	39.711121	
10.109375	39.711000	
10.111328	39.710859	
10.113281	39.710724	
10.115234	39.710595	
10.117188	39.710473	
10.119141	39.710357	
10.121094	39.710246	
10.123047	39.710169	
10.125000	39.710125	
10.126953	39.710115	
10.128906	39.710110	
10.130859	39.710111	
10.132812	39.710119	
10.134766	39.710133	
10.136719	39.710153	
10.138672	39.710153	
10.140625	39.710132	
10.142578	39.710091	
10.144531	39.710029	
10.146484	39.709973	
10.148438	39.709924	
10.150391	39.709881	
10.152344	39.709844	
10.154297	39.709813	
10.156250	39.709816	
10.158203	39.709851	
10.160156	39.709920	
10.162109	39.709994	
10.164062	39.710075	
10.166016	39.710162	
10.167969	39.710256	
10.169922	39.710356	
10.171875	39.710435	
10.173828	39.710494	
10.175781	39.710532	
10.177734	39.710549	
10.179688	39.710546	
10.181641	39.710522	
10.183594	39.710478	
10.185547	39.710413	
10.187500	39.710327	
10.189453	39.710221	
10.191406	39.710095	
10.193359	39.709947	
10.195312	39.709779	
10.197266	39.709618	
10.199219	39.709463	
10.201172	39.709314	
10.203125	39.709171	
10.205078	39.709034	
10.207031	39.708931	
10.208984	39.708861	
10.210938	39.708823	
10.212891	39.708792	
10.214844	39.708767	
10.216797	39.708748	
10.218750	39.708736	
10.220703	39.708730	
10.222656	39.708703	
10.224609	39.708656	
10.226562	39.708588	
10.228516	39.708499	
10.230469	39.708417	
10.232422	39.708342	
10.234375	39.708272	
10.236328	39.708209	
10.238281	39.708152	
10.240234	39.708127	
10.242188	39.708136	
10.244141	39.708178	
10.246094	39.708227	
10.248047	39.708281	
10.250000	39.708342	
10.251953	39.708409	
10.253906	39.708482	
10.255859	39.708535	
10.257812	39.708567	
10.259766	39.708578	
10.261719	39.708569	
10.263672	39.708567	
10.265625	39.708570	
10.267578	39.708580	
10.269531	39.708596	
10.271484	39.708619	
10.273438	39.708674	
10.275391	39.708762	
10.277344	39.708884	
10.279297	39.709011	
10.281250	39.709145	
10.283203	39.709285	
10.285156	39.709432	
10.287109	39.709584	
10.289062	39.709716	
10.291016	39.709828	
10.292969	39.709919	
10.294922	39.709989	
10.296875	39.710039	
10.298828	39.710068	
10.300781	39.710077	
10.302734	39.710065	
10.304688	39.710032	
10.306641	39.709979	
10.308594	39.709906	
10.310547	39.709811	
10.312500	39.709696	
10.314453	39.709588	
10.316406	39.709485	
10.318359	39.709389	
10.320312	39.709300	
10.322266	39.709216	
10.324219	39.709165	
10.326172	39.709148	
10.328125	39.709164	
10.330078	39.709185	
10.332031	39.709213	
10.333984	39.709247	
10.335938	39.709288	
10.337891	39.709335	
10.339844	39.709361	
10.341797	39.709367	
10.343750	39.709352	
10.345703	39.709316	
10.347656	39.709260	
10.349609	39.709183	
10.351562	39.709086	
10.353516	39.708968	
10.355469	39.708830	
10.357422	39.708698	
10.359375	39.708572	
10.361328	39.708453	
10.363281	39.708341	
10.365234	39.708262	
10.367188	39.708216	
10.369141	39.708205	
10.371094	39.708226	
10.373047	39.708255	
10.375000	39.708290	
10.376953	39.708331	
10.378906	39.708378	
10.380859	39.708406	
10.382812	39.708412	
10.384766	39.708398	
10.386719	39.708363	
10.388672	39.708308	
10.390625	39.708259	
10.392578	39.708217	
10.394531	39.708181	
10.396484	39.708152	
10.398438	39.708156	
10.400391	39.708194	
10.402344	39.708265	
10.404297	39.708370	
10.406250	39.708482	
10.408203	39.708600	
10.410156	39.708724	
10.412109	39.708855	
10.414062	39.708965	
10.416016	39.709055	
10.417969	39.709124	
10.419922	39.709173	
10.421875	39.709201	
10.423828	39.709208	
10.425781	39.709195	
10.427734	39.709161	
10.429688	39.709106	
10.431641	39.709031	
10.433594	39.708936	
10.435547	39.708820	
10.437500	39.708683	
10.439453	39.708526	
10.441406	39.708375	
10.443359	39.708230	
10.445312	39.708092	
10.447266	39.707961	
10.449219	39.707863	
10.451172	39.707799	
10.453125	39.707768	
10.455078	39.707771	
10.457031	39.707780	
10.458984	39.707796	
10.460938	39.707818	
10.462891	39.707847	
10.464844	39.707855	
10.466797	39.707843	
10.468750	39.707810	
10.470703	39.707756	
10.472656	39.707682	
10.474609	39.707615	
10.476562	39.707553	
10.478516	39.707498	
10.480469	39.707450	
10.482422	39.707436	
10.484375	39.707455	
10.486328	39.707507	
10.488281	39.707593	
10.490234	39.707686	
10.492188	39.707785	
10.494141	39.707890	
10.496094	39.708002	
10.498047	39.708094	
10.500000	39.708164	
10.501953	39.708215	
10.503906	39.708244	
10.505859	39.708253	
10.507812	39.708269	
10.509766	39.708291	
10.511719	39.708319	
10.513672	39.708354	
10.515625	39.708396	
10.517578	39.708444	
10.519531	39.708499	
10.521484	39.708561	
10.523438	39.708602	
10.525391	39.708624	
10.527344	39.708625	
10.529297	39.708606	
10.531250	39.708567	
10.533203	39.708535	
10.535156	39.708509	
10.537109	39.708490	
10.539062	39.708478	
10.541016	39.708499	
10.542969	39.708554	
10.544922	39.708642	
10.546875	39.708764	
10.548828	39.708893	
10.550781	39.709028	
10.552734	39.709170	
10.554688	39.709319	
10.556641	39.709447	
10.558594	39.709556	
10.560547	39.709644	
10.562500	39.709712	
10.564453	39.709760	
10.566406	39.709788	
10.568359	39.709795	
10.570312	39.709783	
10.572266	39.709750	
10.574219	39.709724	
10.576172	39.709705	
10.578125	39.709693	
10.580078	39.709688	
10.582031	39.709689	
10.583984	39.709725	
10.585938	39.709795	
10.587891	39.709899	
10.589844	39.710010	
10.591797	39.710128	
10.593750	39.710253	
10.595703	39.710385	
10.597656	39.710524	
10.599609	39.710642	
10.601562	39.710741	
10.603516	39.710819	
10.605469	39.710877	
10.607422	39.710915	
10.609375	39.710932	
10.611328	39.710930	
10.613281	39.710907	
10.615234	39.710864	
10.617188	39.710828	
10.619141	39.710799	
10.621094	39.710776	
10.623047	39.710760	
10.625000	39.710777	
10.626953	39.710828	
10.628906	39.710913	
10.630859	39.711031	
10.632812	39.711156	
10.634766	39.711287	
10.636719	39.711426	
10.638672	39.711571	
10.640625	39.711695	
10.642578	39.711800	
10.644531	39.711884	
10.646484	39.711949	
10.648438	39.711993	
10.650391	39.712017	
10.652344	39.712021	
10.654297	39.712004	
10.656250	39.711968	
10.658203	39.711938	
10.660156	39.711915	
10.662109	39.711899	
10.664062	39.711890	
10.666016	39.711888	
10.667969	39.711920	
10.669922	39.711987	
10.671875	39.712087	
10.673828	39.712194	
10.675781	39.712308	
10.677734	39.712429	
10.679688	39.712558	
10.681641	39.712692	
10.683594	39.712807	
10.685547	39.712902	
10.687500	39.712976	
10.689453	39.713030	
10.691406	39.713064	
10.693359	39.713078	
10.695312	39.713072	
10.697266	39.713045	
10.699219	39.712999	
10.701172	39.712932	
10.703125	39.712845	
10.705078	39.712738	
10.707031	39.712610	
10.708984	39.712490	
10.710938	39.712376	
10.712891	39.712270	
10.714844	39.712170	
10.716797	39.712077	
10.718750	39.712019	
10.720703	39.711994	
10.722656	39.712004	
10.724609	39.712020	
10.726562	39.712044	
10.728516	39.712074	
10.730469	39.712111	
10.732422	39.712155	
10.734375	39.712179	
10.736328	39.712183	
10.738281	39.712167	
10.740234	39.712130	
10.742188	39.712100	
10.744141	39.712078	
10.746094	39.712062	
10.748047	39.712053	
10.750000	39.712051	
10.751953	39.712056	
10.753906	39.712068	
10.755859	39.712088	
10.757812	39.712088	
10.759766	39.712068	
10.761719	39.712028	
10.763672	39.711969	
10.765625	39.711889	
10.767578	39.711791	
10.769531	39.711699	
10.771484	39.711614	
10.773438	39.711537	
10.775391	39.711493	
10.777344	39.711484	
10.779297	39.711508	
10.781250	39.711567	
10.783203	39.711660	
10.785156	39.711759	
10.787109	39.711866	
10.789062	39.711980	
10.791016	39.712075	
10.792969	39.712149	
10.794922	39.712204	
10.796875	39.712239	
10.798828	39.712254	
10.800781	39.712250	
10.802734	39.712253	
10.804688	39.712263	
10.806641	39.712280	
10.808594	39.712304	
10.810547	39.712335	
10.812500	39.712373	
10.814453	39.712418	
10.816406	39.712469	
10.818359	39.712501	
10.820312	39.712512	
10.822266	39.712503	
10.824219	39.712474	
10.826172	39.712452	
10.828125	39.712437	
10.830078	39.712429	
10.832031	39.712427	
10.833984	39.712433	
10.835938	39.712446	
10.837891	39.712466	
10.839844	39.712493	
10.841797	39.712500	
10.843750	39.712488	
10.845703	39.712455	
10.847656	39.712404	
10.849609	39.712332	
10.851562	39.712241	
10.853516	39.712156	
10.855469	39.712079	
10.857422	39.712009	
10.859375	39.711973	
10.861328	39.711972	
10.863281	39.712004	
10.865234	39.712070	
10.867188	39.712170	
10.869141	39.712277	
10.871094	39.712392	
10.873047	39.712513	
10.875000	39.712615	
10.876953	39.712697	
10.878906	39.712760	
10.880859	39.712802	
10.882812	39.712825	
10.884766	39.712829	
10.886719	39.712812	
10.888672	39.712776	
10.890625	39.712719	
10.892578	39.712644	
10.894531	39.712548	
10.896484	39.712433	
10.898438	39.712298	
10.900391	39.712143	
10.902344	39.711968	
10.904297	39.711801	
10.906250	39.711641	
10.908203	39.711487	
10.910156	39.711368	
10.912109	39.711283	
10.914062	39.711232	
10.916016	39.711215	
10.917969	39.711232	
10.919922	39.711256	
10.921875	39.711288	
10.923828	39.711326	
10.925781	39.711345	
10.927734	39.711344	
10.929688	39.711323	
10.931641	39.711282	
10.933594	39.711222	
10.935547	39.711142	
10.937500	39.711042	
10.939453	39.710923	
10.941406	39.710783	
10.943359	39.710624	
10.945312	39.710446	
10.947266	39.710247	
10.949219	39.710029	
10.951172	39.709791	
10.953125	39.709533	
10.955078	39.709282	
10.957031	39.709039	
10.958984	39.708803	
10.960938	39.708600	
10.962891	39.708432	
10.964844	39.708298	
10.966797	39.708198	
10.968750	39.708132	
10.970703	39.708072	
10.972656	39.708021	
10.974609	39.707976	
10.976562	39.707911	
10.978516	39.707827	
10.980469	39.707723	
10.982422	39.707599	
10.984375	39.707456	
10.986328	39.707293	
10.988281	39.707137	
10.990234	39.706988	
10.992188	39.706846	
10.994141	39.706738	
10.996094	39.706664	
10.998047	39.706625	
11.000000	39.706619	
11.001953	39.706647	
11.003906	39.706683	
11.005859	39.706725	
11.007812	39.706775	
11.009766	39.706805	
11.011719	39.706816	
11.013672	39.706806	
11.015625	39.706777	
11.017578	39.706728	
11.019531	39.706659	
11.021484	39.706598	
11.023438	39.706543	
11.025391	39.706496	
11.027344	39.706456	
11.029297	39.706423	
11.031250	39.706396	
11.033203	39.706377	
11.035156	39.706364	
11.037109	39.706331	
11.039062	39.706279	
11.041016	39.706205	
11.042969	39.706112	
11.044922	39.706026	
11.046875	39.705946	
11.048828	39.705874	
11.050781	39.705808	
11.052734	39.705749	
11.054688	39.705698	
11.056641	39.705653	
11.058594	39.705616	
11.060547	39.705559	
11.062500	39.705483	
11.064453	39.705386	
11.066406	39.705270	
11.068359	39.705134	
11.070312	39.704978	
11.072266	39.704830	
11.074219	39.704689	
11.076172	39.704554	
11.078125	39.704454	
11.080078	39.704388	
11.082031	39.704356	
11.083984	39.704358	
11.085938	39.704394	
11.087891	39.704437	
11.089844	39.704487	
11.091797	39.704544	
11.093750	39.704582	
11.095703	39.704600	
11.097656	39.704598	
11.099609	39.704576	
11.101562	39.704535	
11.103516	39.704474	
11.105469	39.704420	
11.107422	39.704373	
11.109375	39.704333	
11.111328	39.704300	
11.113281	39.704275	
11.115234	39.704256	
11.117188	39.704244	
11.119141	39.704239	
11.121094	39.704214	
11.123047	39.704169	
11.125000	39.704103	
11.126953	39.704017	
11.128906	39.703911	
11.130859	39.703785	
11.132812	39.703639	
11.134766	39.703473	
11.136719	39.703286	
11.138672	39.703106	
11.140625	39.702933	
11.142578	39.702767	
11.144531	39.702607	
11.146484	39.702481	
11.148438	39.702388	
11.150391	39.702329	
11.152344	39.702304	
11.154297	39.702285	
11.156250	39.702273	
11.158203	39.702267	
11.160156	39.702268	
11.162109	39.702250	
11.164062	39.702210	
11.166016	39.702151	
11.167969	39.702072	
11.169922	39.701972	
11.171875	39.701852	
11.173828	39.701713	
11.175781	39.701552	
11.177734	39.701372	
11.179688	39.701199	
11.181641	39.701032	
11.183594	39.700873	
11.185547	39.700720	
11.187500	39.700574	
11.189453	39.700463	
11.191406	39.700385	
11.193359	39.700342	
11.195312	39.700305	
11.197266	39.700276	
11.199219	39.700253	
11.201172	39.700238	
11.203125	39.700229	
11.205078	39.700200	
11.207031	39.700151	
11.208984	39.700082	
11.210938	39.699992	
11.212891	39.699882	
11.214844	39.699753	
11.216797	39.699603	
11.218750	39.699432	
11.220703	39.699242	
11.222656	39.699059	
11.224609	39.698882	
11.226562	39.698712	
11.228516	39.698548	
11.230469	39.698418	
11.232422	39.698322	
11.234375	39.698259	
11.236328	39.698229	
11.238281	39.698207	
11.240234	39.698191	
11.242188	39.698181	
11.244141	39.698179	
11.246094	39.698156	
11.248047	39.698113	
11.250000	39.698050	
11.251953	39.697967	
11.253906	39.697864	
11.255859	39.697740	
11.257812	39.697597	
11.259766	39.697433	
11.261719	39.697249	
11.263672	39.697071	
11.265625	39.696901	
11.267578	39.696738	
11.269531	39.696581	
11.271484	39.696432	
11.273438	39.696317	
11.275391	39.696235	
11.277344	39.696188	
11.279297	39.696148	
11.281250	39.696115	
11.283203	39.696088	
11.285156	39.696069	
11.287109	39.696056	
11.289062	39.696023	
11.291016	39.695971	
11.292969	39.695897	
11.294922	39.695804	
11.296875	39.695691	
11.298828	39.695557	
11.300781	39.695403	
11.302734	39.695229	
11.304688	39.695035	
11.306641	39.694848	
11.308594	39.694667	
11.310547	39.694493	
11.312500	39.694326	
11.314453	39.694192	
11.316406	39.694092	
11.318359	39.694025	
11.320312	39.693992	
11.322266	39.693966	
11.324219	39.693946	
11.326172	39.693933	
11.328125	39.693927	
11.330078	39.693900	
11.332031	39.693854	
11.333984	39.693787	
11.335938	39.693700	
11.337891	39.693593	
11.339844	39.693492	
11.341797	39.693399	
11.343750	39.693312	
11.345703	39.693231	
11.347656	39.693185	
11.349609	39.693171	
11.351562	39.693192	
11.353516	39.693246	
11.355469	39.693306	
11.357422	39.693373	
11.359375	39.693447	
11.361328	39.693528	
11.363281	39.693588	
11.365234	39.693629	
11.367188	39.693649	
11.369141	39.693649	
11.371094	39.693629	
11.373047	39.693588	
11.375000	39.693528	
11.376953	39.693447	
11.378906	39.693346	
11.380859	39.693225	
11.382812	39.693084	
11.384766	39.692923	
11.386719	39.692741	
11.388672	39.692540	
11.390625	39.692345	
11.392578	39.692157	
11.394531	39.691975	
11.396484	39.691800	
11.398438	39.691659	
11.400391	39.691551	
11.402344	39.691477	
11.404297	39.691436	
11.406250	39.691402	
11.408203	39.691375	
11.410156	39.691354	
11.412109	39.691340	
11.414062	39.691306	
11.416016	39.691252	
11.417969	39.691178	
11.419922	39.691083	
11.421875	39.690968	
11.423828	39.690860	
11.425781	39.690759	
11.427734	39.690665	
11.429688	39.690577	
11.431641	39.690495	
11.433594	39.690421	
11.435547	39.690352	
11.437500	39.690290	
11.439453	39.690208	
11.441406	39.690105	
11.443359	39.689981	
11.445312	39.689837	
11.447266	39.689672	
11.449219	39.689513	
11.451172	39.689361	
11.453125	39.689216	
11.455078	39.689077	
11.457031	39.688944	
11.458984	39.688819	
11.460938	39.688700	
11.462891	39.688587	
11.464844	39.688455	
11.466797	39.688303	
11.468750	39.688130	
11.470703	39.687937	
11.472656	39.687724	
11.474609	39.687518	
11.476562	39.687318	
11.478516	39.687125	
11.480469	39.686939	
11.482422	39.686786	
11.484375	39.686667	
11.486328	39.686582	
11.488281	39.686530	
11.490234	39.686484	
11.492188	39.686446	
11.494141	39.686414	
11.496094	39.686389	
11.498047	39.686343	
11.500000	39.686278	
11.501953	39.686192	
11.503906	39.686086	
11.505859	39.685960	
11.507812	39.685841	
11.509766	39.685728	
11.511719	39.685622	
11.513672	39.685523	
11.515625	39.685457	
11.517578	39.685425	
11.519531	39.685427	
11.521484	39.685462	
11.523438	39.685503	
11.525391	39.685551	
11.527344	39.685606	
11.529297	39.685668	
11.531250	39.685710	
11.533203	39.685731	
11.535156	39.685732	
11.537109	39.685714	
11.539062	39.685675	
11.541016	39.685642	
11.542969	39.685617	
11.544922	39.685598	
11.546875	39.685585	
11.548828	39.685580	
11.550781	39.685580	
11.552734	39.685588	
11.554688	39.685601	
11.556641	39.685594	
11.558594	39.685567	
11.560547	39.685519	
11.562500	39.685450	
11.564453	39.685361	
11.566406	39.685278	
11.568359	39.685202	
11.570312	39.685132	
11.572266	39.685068	
11.574219	39.685039	
11.576172	39.685042	
11.578125	39.685080	
11.580078	39.685151	
11.582031	39.685228	
11.583984	39.685312	
11.585938	39.685402	
11.587891	39.685499	
11.589844	39.685576	
11.591797	39.685631	
11.593750	39.685666	
11.595703	39.685681	
11.597656	39.685675	
11.599609	39.685675	
11.601562	39.685682	
11.603516	39.685695	
11.605469	39.685715	
11.607422	39.685768	
11.609375	39.685855	
11.611328	39.685976	
11.613281	39.686130	
11.615234	39.686291	
11.617188	39.686458	
11.619141	39.686631	
11.621094	39.686811	
11.623047	39.686971	
11.625000	39.687110	
11.626953	39.687228	
11.628906	39.687326	
11.630859	39.687403	
11.632812	39.687459	
11.634766	39.687495	
11.636719	39.687511	
11.638672	39.687505	
11.640625	39.687479	
11.642578	39.687433	
11.644531	39.687366	
11.646484	39.687278	
11.648438	39.687170	
11.650391	39.687068	
11.652344	39.686973	
11.654297	39.686884	
11.656250	39.686802	
11.658203	39.686753	
11.660156	39.686738	
11.662109	39.686757	
11.664062	39.686809	
11.666016	39.686867	
11.667969	39.686932	
11.669922	39.687004	
11.671875	39.687082	
11.673828	39.687139	
11.675781	39.687176	
11.677734	39.687192	
11.679688	39.687188	
11.681641	39.687163	
11.683594	39.687144	
11.685547	39.687132	
11.687500	39.687126	
11.689453	39.687127	
11.691406	39.687162	
11.693359	39.687230	
11.695312	39.687331	
11.697266	39.687467	
11.699219	39.687608	
11.701172	39.687757	
11.703125	39.687911	
11.705078	39.688073	
11.707031	39.688213	
11.708984	39.688333	
11.710938	39.688432	
11.712891	39.688511	
11.714844	39.688569	
11.716797	39.688607	
11.718750	39.688624	
11.720703	39.688620	
11.722656	39.688596	
11.724609	39.688578	
11.726562	39.688567	
11.728516	39.688562	
11.730469	39.688563	
11.732422	39.688570	
11.734375	39.688610	
11.736328	39.688683	
11.738281	39.688790	
11.740234	39.688902	
11.742188	39.689021	
11.744141	39.689146	
11.746094	39.689277	
11.748047	39.689414	
11.750000	39.689532	
11.751953	39.689628	
11.753906	39.689704	
11.755859	39.689759	
11.757812	39.689794	
11.759766	39.689808	
11.761719	39.689801	
11.763672	39.689774	
11.765625	39.689726	
11.767578	39.689685	
11.769531	39.689650	
11.771484	39.689622	
11.773438	39.689600	
11.775391	39.689612	
11.777344	39.689657	
11.779297	39.689736	
11.781250	39.689849	
11.783203	39.689968	
11.785156	39.690094	
11.787109	39.690226	
11.789062	39.690364	
11.791016	39.690482	
11.792969	39.690579	
11.794922	39.690656	
11.796875	39.690712	
11.798828	39.690747	
11.800781	39.690789	
11.802734	39.690838	
11.804688	39.690893	
11.806641	39.690954	
11.808594	39.691049	
11.810547	39.691178	
11.812500	39.691340	
11.814453	39.691535	
11.816406	39.691738	
11.818359	39.691946	
11.820312	39.692162	
11.822266	39.692383	
11.824219	39.692584	
11.826172	39.692765	
11.828125	39.692925	
11.830078	39.693064	
11.832031	39.693183	
11.833984	39.693281	
11.835938	39.693358	
11.837891	39.693415	
11.839844	39.693452	
11.841797	39.693467	
11.843750	39.693462	
11.845703	39.693437	
11.847656	39.693391	
11.849609	39.693324	
11.851562	39.693264	
11.853516	39.693211	
11.855469	39.693163	
11.857422	39.693123	
11.859375	39.693116	
11.861328	39.693142	
11.863281	39.693202	
11.865234	39.693296	
11.867188	39.693396	
11.869141	39.693502	
11.871094	39.693616	
11.873047	39.693735	
11.875000	39.693834	
11.876953	39.693912	
11.878906	39.693970	
11.880859	39.694007	
11.882812	39.694024	
11.884766	39.694047	
11.886719	39.694076	
11.888672	39.694112	
11.890625	39.694155	
11.892578	39.694231	
11.894531	39.694341	
11.896484	39.694484	
11.898438	39.694661	
11.900391	39.694844	
11.902344	39.695034	
11.904297	39.695230	
11.906250	39.695433	
11.908203	39.695615	
11.910156	39.695777	
11.912109	39.695918	
11.914062	39.696038	
11.916016	39.696138	
11.917969	39.696244	
11.919922	39.696357	
11.921875	39.696476	
11.923828	39.696602	
11.925781	39.696761	
11.927734	39.696954	
11.929688	39.697180	
11.931641	39.697440	
11.933594	39.697707	
11.935547	39.697980	
11.937500	39.698259	
11.939453	39.698545	
11.941406	39.698810	
11.943359	39.699055	
11.945312	39.699279	
